issue,severity,company,title,job_id,work_arrangement,city,state,url,detail
location_recovered,info,Lotus,Sales Account Executive La Caliente & La Buena/Ejecutivos de cuentas de ventas Radio La Caliente y La Buena,662665719f8f1313,On-Site,Tucson,AZ,https://www.lotuscorp.com/2026/05/07/sales-account-executive-la-calient-la-buena-ejecutivos-de-cuentas-de-ventas-radio-la-caliente-y-la-buena/,Recovered from a labelled title/description location
location_recovered,info,Stingray,Advertising Operations Specialist – Retail Media,b38488fa6d4dd619,On-Site,Montreal,QC,https://jobs.stingray.com/job/advertising-operations-specialist-retail-media/,Recovered from a labelled title/description location
location_recovered,info,Stingray,AI Software Developer,bc2ef6c0b68ec96b,On-Site,Montreal,QC,https://jobs.stingray.com/job/devai2/,Recovered from a labelled title/description location
location_recovered,info,Stingray,Business Systems Developer,5a94a79dfd18ae5f,On-Site,Montreal,QC,https://jobs.stingray.com/job/dev_digit/,Recovered from a labelled title/description location
location_recovered,info,Stingray,Content Specialist: Linear Channels,3790d08c16cf23b4,On-Site,Montreal,QC,https://jobs.stingray.com/job/content-specialist-linear-channels-2/,Recovered from a labelled title/description location
location_recovered,info,Stingray,FPA Analyst,e0783dfe149f172e,On-Site,Montreal,QC,https://jobs.stingray.com/job/fpa-analyst/,Recovered from a labelled title/description location
location_recovered,info,Stingray,Service Dispatch Coordinator,1473e94e325df6f8,On-Site,Montreal,QC,https://jobs.stingray.com/job/service-dispatch-coordinator/,Recovered from a labelled title/description location
location_recovered,info,Stingray,Technical Specialist (Digital Signage),bb5a36fd9439767e,On-Site,Montreal,QC,https://jobs.stingray.com/job/technical-specialist-digital-signage/,Recovered from a labelled title/description location
location_recovered,info,Universal Music Group,"Globe Sync Agent (Advertising) - New York, New York",UMG-22527,On-Site,New York,NY,https://umusic.wd5.myworkdayjobs.com/UMGUS/job/Globe-Sync-Agent--Advertising-_UMG-22527,Recovered from a labelled title/description location
work_arrangement_corrected,info,Gannett / USA TODAY Co.,Remote Inside Sales Account Advisor,91806,Remote,,,https://jobs.dayforcehcm.com/en-US/gannett/CANDIDATEPORTAL/jobs/91806,Changed from On-Site to Remote using explicit job-level wording
missing_location,warning,CBC/Radio-Canada,Radio Production Assistant (Tout un matin) (On Call) (French Services) (On Site),JR00008753,On-Site,,,https://cbcrc.wd3.myworkdayjobs.com/CBC_Radio-Canada_Jobs/job/Adjointe-ou-Adjoint-de-ralisation--Radio---Surnumraire---Services-franais---Sur-Site-_JR00008753-1,No reliable city was found
missing_location,warning,Gannett / USA TODAY Co.,Account Executive - Digital Marketing,91779,On-Site,,,https://jobs.dayforcehcm.com/en-US/gannett/CANDIDATEPORTAL/jobs/91779,No reliable city was found
missing_location,warning,Gannett / USA TODAY Co.,"Audience Editor, Entertainment",91728,On-Site,,,https://jobs.dayforcehcm.com/en-US/gannett/CANDIDATEPORTAL/jobs/91728,No reliable city was found
missing_location,warning,Gannett / USA TODAY Co.,"Audience Editor, News",91730,Remote,,,https://jobs.dayforcehcm.com/en-US/gannett/CANDIDATEPORTAL/jobs/91730,No reliable city was found
missing_location,warning,Gannett / USA TODAY Co.,"Audience Editor, Sports",91726,Remote,,,https://jobs.dayforcehcm.com/en-US/gannett/CANDIDATEPORTAL/jobs/91726,No reliable city was found
missing_location,warning,Gannett / USA TODAY Co.,"Content Creator, Entertainment",91718,Remote,,,https://jobs.dayforcehcm.com/en-US/gannett/CANDIDATEPORTAL/jobs/91718,No reliable city was found
missing_location,warning,Gannett / USA TODAY Co.,"Content Creator, Sports",91720,Remote,,,https://jobs.dayforcehcm.com/en-US/gannett/CANDIDATEPORTAL/jobs/91720,No reliable city was found
missing_location,warning,Gannett / USA TODAY Co.,"Content Creator, Sports",91722,Remote,,,https://jobs.dayforcehcm.com/en-US/gannett/CANDIDATEPORTAL/jobs/91722,No reliable city was found
missing_location,warning,Gannett / USA TODAY Co.,Data Science Manager,91735,On-Site,,,https://jobs.dayforcehcm.com/en-US/gannett/CANDIDATEPORTAL/jobs/91735,No reliable city was found
missing_location,warning,Gannett / USA TODAY Co.,Event Operations Manager,91750,Remote,,,https://jobs.dayforcehcm.com/en-US/gannett/CANDIDATEPORTAL/jobs/91750,No reliable city was found
missing_location,warning,Gannett / USA TODAY Co.,Messaging Specialist,91712,Remote,,,https://jobs.dayforcehcm.com/en-US/gannett/CANDIDATEPORTAL/jobs/91712,No reliable city was found
missing_location,warning,Gannett / USA TODAY Co.,Remote Inside Sales Account Advisor,91806,Remote,,,https://jobs.dayforcehcm.com/en-US/gannett/CANDIDATEPORTAL/jobs/91806,No reliable city was found
missing_location,warning,Gannett / USA TODAY Co.,Social Media Specialist,91714,Remote,,,https://jobs.dayforcehcm.com/en-US/gannett/CANDIDATEPORTAL/jobs/91714,No reliable city was found
missing_location,warning,Gannett / USA TODAY Co.,Social Video Specialist,91716,Remote,,,https://jobs.dayforcehcm.com/en-US/gannett/CANDIDATEPORTAL/jobs/91716,No reliable city was found
missing_location,warning,Lotus,Account Executive,0416cdbb4fbb3a77,On-Site,,,https://www.lotuscorp.com/2026/05/07/account-executive-2/,No reliable city was found
missing_location,warning,Lotus,Digital Radio Account Executive,3e063422bf236a6c,On-Site,,,https://www.lotuscorp.com/2026/08/24/digital-radio-account-executive/,No reliable city was found
missing_location,warning,Paramount,"Designer, Greater China (Freelance, 12 months)",1429485800,On-Site,,,https://careers.paramount.com/job/Designer%2C-Greater-China-%28Freelance%2C-12-months%29/1429485800/,No reliable city was found
missing_location,warning,Paramount,"Manager, Social Media, Japan (Freelance, 12 months)",1429981600,On-Site,,,https://careers.paramount.com/job/Manager%2C-Social-Media%2C-Japan-%28Freelance%2C-12-months%29-107-0052/1429981600/,No reliable city was found
missing_location,warning,Stingray,Digital Marketing Operations & Project Manager,070a616c8d1e18ff,On-Site,,,https://jobs.stingray.com/job/digital-marketing-project-manager/,No reliable city was found
missing_location,warning,Stingray,Lifecycle & Marketing Automation Specialist,7b163642fbb324b6,On-Site,,,https://jobs.stingray.com/job/lifecycle-marketing-automation-manager/,No reliable city was found
missing_location,warning,Stingray,Pharmaceutical Category Sales Specialist,5e1133cb9b3a7b05,On-Site,,,https://jobs.stingray.com/job/pharmaceutical-category-sales-specialist/,No reliable city was found
missing_location,warning,Stingray,"VP Sales, WPP Agencies",8cc21978e7f41ea1,On-Site,,,https://jobs.stingray.com/job/vp-sales-wpp-agencies/,No reliable city was found
